English,article,French
people,le,peuple
time,le,temps
year,la,année
thing,la,chose
way,le,chemin
day,le,jour
man,le,homme
state,le,état
lot,le,lot
woman,la,femme
country,le,pays
life,la,vie
question,la,question
president,le,président
child,le,enfant
week,la,semaine
world,le,monde
kind,le,genre
case,le,cas
problem,le,problème
fact,le,fait
family,la,famille
story,la,histoire
point,le,point
government,le,gouvernement
money,le,argent
issue,la,question
part,la,partie
morning,le,matin
guy,le,gars
number,le,nombre
job,le,travail
night,la,nuit
right,le,droit
school,la,école
place,le,lieu
war,la,guerre
kid,le,enfant
month,le,mois
book,le,livre
hour,la,heure
show,le,spectacle
police,la,police
program,le,programme
party,la,partie
law,la,loi
word,le,mot
person,la,personne
home,la,maison
business,la,entreprise
friend,le,ami
company,la,entreprise
side,le,côté
tax,la,taxe
democrat,le,démocrate
group,le,groupe
moment,le,moment
break,la,pause
idea,la,idée
member,le,membre
system,le,système
minute,la,minute
reason,la,raison
campaign,la,campagne
work,le,oeuvre
nation,la,nation
congress,le,congrès
mother,la,mère
force,la,force
health,la,santé
back,le,arrière
area,la,zone
name,le,nom
report,le,rapport
hand,la,main
line,la,ligne
end,la,fin
court,le,tribunal
care,le,soins
couple,le,couple
house,la,maison
american,le,américain
father,le,père
situation,la,situation
car,la,voiture
parent,le,parent
administration,la,administration
drug,le,médicament
city,la,ville
sense,le,sens
policy,la,politique
office,le,bureau
decision,la,décision
power,la,puissance
plan,le,plan
leader,le,leader
information,la,information
election,le,élection
movie,le,film
death,la,mort
air,le,air
call,le,appel
community,la,communauté
look,le,look
evidence,la,preuve
girl,la,jeune fille
doctor,le,médecin
vote,le,vote
video,la,vidéo
picture,la,image
room,la,chambre
bit,le,bit
economy,le,économie
phone,le,téléphone
history,la,histoire
sort,le,genre
boy,le,garçon
crime,le,crime
process,le,processus
wife,la,épouse
music,la,musique
water,le,eau
service,le,service
record,le,dossier
security,la,sécurité
talk,le,discours
mind,le,esprit
head,la,tête
candidate,le,candidat
official,le,fonctionnaire
camera,le,appareil photo
student,le,étudiant
attack,la,attaque
chance,la,chance
game,le,jeu
baby,le,bébé
south,le,sud
change,le,changement
trial,le,procès
body,le,corps
market,le,marché
cloth,la,étoffe
interest,le,intérêt
weapon,la,arme
heart,le,cœur
son,le,fils
team,la,équipe
town,la,ville
television,la,télévision
will,la,volonté
troop,la,troupe
judge,le,juge
action,la,action
answer,la,réponse
position,la,position
view,la,vue
difference,la,différence
food,la,nourriture
daughter,la,fille
race,la,course
deal,le,accord
street,la,rue
price,le,prix
message,le,message
control,le,contrôle
debate,le,débat
officer,le,agent
film,le,film
level,le,niveau
effort,le,effort
relationship,la,relation
correspondent,le,correspondant
ground,le,sol
piece,la,pièce
husband,le,mari
budget,le,budget
jury,le,jury
reporter,le,journaliste
weekend,le,week-end
matter,la,matière
age,le,âge
gun,le,pistolet
peace,la,paix
murder,le,assassiner
role,le,rôle
investigation,la,enquête
experience,la,expérience
hospital,le,hôpital
eye,le,oeil
director,le,directeur
future,le,avenir
face,le,visage
oil,la,huile
result,le,résultat
public,le,public
lawyer,le,avocat
poll,le,scrutin
second,la,seconde
opportunity,la,possibilité
industry,la,industrie
brother,le,frère
statement,la,déclaration
fire,le,feu
love,le,amour
rate,le,taux
effect,le,effet
song,la,chanson
event,le,événement
charge,la,charge
support,le,support
radio,la,radio
building,le,bâtiment
bank,la,banque
victim,la,victime
door,la,porte
interview,le,interview
scene,la,scène
rest,le,reste
press,la,presse
attention,la,attention
choice,le,choix
speech,le,discours
patient,le,patient
truth,la,vérité
road,la,route
term,le,terme
site,le,site
worker,le,travailleur
professor,le,professeur
letter,la,lettre
reform,la,réforme
concern,la,préoccupation
folk,le,gens(p)
sex,le,sexe
study,la,étude
college,le,collège
voter,le,électeur
wall,le,mur
evening,le,soir
meeting,la,réunion
voice,la,voix
audience,le,auditoire
violence,la,violence
rule,la,règle
star,la,étoile
test,le,test
education,la,éducation
trouble,la,peine
risk,le,risque
prison,la,prison
guest,le,invité
class,la,classe
society,la,société
soldier,le,soldat
plane,le,plan
amount,la,quantité
help,le,aide
cost,le,coût
authority,la,autorité
foot,le,pied
period,la,période
feeling,le,sentiment
step,la,étape
cause,la,cause
tape,la,bande
threat,la,menace
opinion,la,opinion
organization,la,organisation
type,le,type
conversation,la,conversation
disease,la,maladie
operation,la,opération
cancer,le,cancer
magazine,le,magazine
governor,le,gouverneur
pressure,la,pression
majority,la,majorité
research,la,recherche
character,le,caractère
station,la,station
crisis,la,crise
expert,le,expert
blood,le,sang
chairman,le,président
argument,le,argument
list,la,liste
dog,le,chien
computer,le,ordinateur
beginning,le,début
insurance,la,assurance
field,le,domaine
sister,la,sœur
mistake,la,erreur
player,le,joueur
energy,la,énergie
paper,le,papier
space,le,espace
store,la,boutique
agreement,le,accord
responsibility,la,responsabilité
lady,la,dame
order,le,ordre
summer,le,été
product,le,produit
value,la,valeur
stock,le,stock
intelligence,la,intelligence
teacher,le,enseignant
agency,la,agence
trade,le,commerce
conference,la,conférence
cell,la,cellule
church,la,église
comment,le,commentaire
source,la,source
past,le,passé
cut,la,coupe
